id,planet_type,discovery_date,mass,planet_radius,orbital_radius,orbital_period,eccentricity,detection_method
2936,Super Earth,2021,1.57 Earths,1.143 x Earth,0.0617 AU,6.4 days,0.0,
2937,Super Earth,2014,4.78 Earths,2.03 x Earth,0.077 AU,8.3 days,0.0,
2938,Super Earth,2014,3.02 Earths,1.55 x Earth,0.197 AU,34.1 days,0.0,
2939,Super Earth,2021,2.26 Earths,1.307 x Earth,0.0354 AU,2.3 days,0.0,
2940,Super Earth,2021,3.25 Earths,1.619 x Earth,0.0588 AU,5.6 days,0.0,
2941,Super Earth,2021,1.95 Earths,1.215 x Earth,0.0783 AU,8 days,0.0,
2942,Terrestrial,2021,0.337 Earths,0.744 x Earth,0.0298 AU,2 days,0.0,
2943,Super Earth,2021,3.83 Earths,1.781 x Earth,0.0322 AU,2.4 days,0.0,
2944,Super Earth,2021,2.4 Earths,1.354 x Earth,0.2301 AU,41.9 days,0.0,
2945,Super Earth,2021,1.39 Earths,1.105 x Earth,0.0763 AU,8.6 days,0.0,
2946,Terrestrial,2021,0.315 Earths,0.73 x Earth,0.0735 AU,7.3 days,0.0,
2947,Super Earth,2021,2.86 Earths,1.5 x Earth,0.0696 AU,7.3 days,0.0,
2948,Super Earth,2021,3.47 Earths,1.682 x Earth,0.0717 AU,6.6 days,0.0,
2949,Super Earth,2014,4.27 Earths,1.9 x Earth,0.138 AU,20.7 days,0.0,
2950,Neptune-like,2014,5.65 Earths,0.2 x Jupiter,0.24 AU,47.4 days,0.0,
2951,Neptune-like,2021,7.56 Earths,0.237 x Jupiter,0.4484 AU,122.1 days,0.0,
2952,Super Earth,2014,2.02 Earths,0.802 x Earth,0.0763 AU,7.5 days,0.07,
2953,Super Earth,2014,2.11 Earths,0.868 x Earth,0.1041 AU,11.3 days,0.04,
2954,Super Earth,2014,1.04 Earths,1.02 x Earth,0.06 AU,5.6 days,0.02,
2955,Super Earth,2014,5.3 Earths,1.23 x Earth,0.09 AU,10.3 days,0.08,
2956,Super Earth,2014,1.98 Earths,1.22 x Earth,0.119 AU,15.7 days,0.03,
2957,Terrestrial,2014,0.693 Earths,0.91 x Earth,0.164 AU,25.2 days,0.38,
2958,Neptune-like,2014,8.35 Earths,0.252 x Jupiter,0.131 AU,17.8 days,0.0,
2959,Neptune-like,2014,6.66 Earths,0.22 x Jupiter,0.259 AU,49.6 days,0.0,
2960,Super Earth,2016,2.96 Earths,1.53 x Earth,0.0229 AU,1.3 days,0.0,
2961,Neptune-like,2014,9.85 Earths,0.277 x Jupiter,0.158 AU,23.6 days,0.0,
2962,Neptune-like,2014,10.6 Earths,0.29 x Jupiter,0.316 AU,67.1 days,0.0,
2963,Super Earth,2011,8.4 Earths,2.209 x Earth,0.0835 AU,9.3 days,0.12,
2964,Neptune-like,2011,13.1 Earths,0.328 x Jupiter,Unknown,28.7 days,0.21,Transit Timing Variations
2965,Neptune-like,2017,22.5 Earths,0.451 x Jupiter,Unknown,63 days,0.05,
2966,Neptune-like,2014,5.18 Earths,2.13 x Earth,0.08 AU,8.6 days,0.0,
2967,Super Earth,2014,3.15 Earths,1.59 x Earth,0.09 AU,10.2 days,0.0,
2968,Neptune-like,2014,6.62 Earths,0.219 x Jupiter,0.175 AU,25.7 days,0.0,
2969,Neptune-like,2014,8.5 Earths,0.254 x Jupiter,0.573 AU,151.9 days,0.0,
2970,Super Earth,2014,3.29 Earths,1.63 x Earth,0.045 AU,4.1 days,0.0,
2971,Super Earth,2014,4.08 Earths,1.85 x Earth,0.113 AU,16.3 days,0.0,
2972,Neptune-like,2014,7.13 Earths,0.229 x Jupiter,0.043 AU,3.2 days,0.0,
2973,Super Earth,2014,2.36 Jupiters,0.22 x Jupiter,0.061 AU,5.4 days,0.0,
2974,Super Earth,2014,33.9 Earths,1.44 x Earth,0.1 AU,11.3 days,0.0,
2975,Neptune-like,2014,6.94 Earths,0.226 x Jupiter,0.117 AU,14.4 days,0.0,
2976,Super Earth,2014,3.86 Earths,1.79 x Earth,0.173 AU,25.7 days,0.0,
2977,Super Earth,2014,2.89 Earths,1.51 x Earth,0.032 AU,2.8 days,0.0,
2978,Super Earth,2014,3.33 Earths,1.64 x Earth,0.122 AU,20.3 days,0.0,
2979,Super Earth,2014,1.87 Earths,1.2 x Earth,0.078 AU,7.8 days,0.0,
2980,Super Earth,2014,3.78 Earths,1.77 x Earth,0.111 AU,13.1 days,0.0,
2981,Super Earth,2014,1.81 Earths,1.19 x Earth,0.163 AU,23.4 days,0.0,
2982,Super Earth,2014,3.09 Earths,1.57 x Earth,0.029 AU,1.6 days,0.0,
2983,Super Earth,2014,2.86 Earths,1.5 x Earth,0.044 AU,3.1 days,0.0,
2984,Neptune-like,2014,11 Earths,0.295 x Jupiter,0.068 AU,5.9 days,0.0,
2985,Super Earth,2014,3.29 Earths,1.63 x Earth,0.054 AU,4.2 days,0.0,
2986,Super Earth,2014,2.51 Earths,1.39 x Earth,0.079 AU,7.5 days,0.0,
2987,Super Earth,2014,1.87 Earths,1.2 x Earth,0.103 AU,11.1 days,0.0,
2988,Super Earth,2014,2.79 Earths,1.48 x Earth,0.132 AU,16.3 days,0.0,
2989,Neptune-like,2014,5.73 Earths,0.202 x Jupiter,0.122 AU,16.1 days,0.0,
2990,Neptune-like,2014,9.8 Earths,0.277 x Jupiter,0.231 AU,41.7 days,0.0,
2991,Super Earth,2011,9.7 Earths,1.868 x Earth,0.0463 AU,3.7 days,0.03,
